instance: 1 time: 18003.059590101242 ObjVal: 1.199609444444179 LowerBound: 0.8499816735509285 GAP: 0.2914513323586288
instance: 2 time: 619.4602756500244 ObjVal: 2.939638333333332 LowerBound: 2.939638333333332 GAP: 0.0
instance: 3 time: 207.56976008415222 ObjVal: 15.179507777777777 LowerBound: 15.17950527777778 GAP: 1.6469572227504804e-07
instance: 4 time: 662.0850129127502 ObjVal: 14.96673611111111 LowerBound: 14.96673611111111 GAP: 0.0
instance: 5 time: 925.4339923858643 ObjVal: 19.416014722222222 LowerBound: 19.416014722222222 GAP: 0.0
instance: 6 time: 18009.953119277954 ObjVal: 20.431226111111094 LowerBound: 20.431011018518536 GAP: 1.0527639965835919e-05
instance: 7 time: 18016.86629319191 ObjVal: 16.386892222222198 LowerBound: 16.29889748798102 GAP: 0.0053698244333265895
instance: 8 time: 13135.45346045494 ObjVal: 2.424517777777778 LowerBound: 2.424517777777778 GAP: 0.0
instance: 9 time: 18033.49562549591 ObjVal: 98.13985333333332 LowerBound: 98.12969899961578 GAP: 0.0001034679936095668
instance: 10 time: 18077.92384171486 ObjVal: 68.13105277777777 LowerBound: 68.1026178810179 GAP: 0.00041735589867673893


#### lösung solution checker:
                          
instance: 1  	solution: 1.199609444444444    gap: 29,15%
instance: 2     solution: 2.939638333333329    gap: 0%
instance: 3     solution: 15.179507777777777   gap: <0,1*10^6%
instance: 4     solution: 14.966736111111103   gap: 0%
instance: 5     solution: 19.41601555555557    gap: ???
instance: 6     solution: 20.431226111111087   gap: <0,1*10^4%
instance: 7     solution: 16.386892222222222   gap: ???
instance: 8     solution: 2.4245177777777775   gap: 0%
instance: 9     solution: 98.13985333333336    gap: <0.0002
instance: 10    solution: 68.1310527777777     gap: <0.0005
